
data/sprites/items/

bag01.png  bleutailfly; OGA BY 3.0; Stendhal (unused)
minor_potion.png               Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
pina_colada.png                Katie Russell (kymara)?
pina_colada2.png               nicubunu, Bluelads4; GPL 2.0+; Based on CC0 image: https://openclipart.org/detail/12995
poison.png                     Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
potion.png                     Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
red_juice.png                  Open Clipart Library; CC0; http://www.clker.com/clipart-16755.html
sedative.*                     Jordan Irwin (AntumDeluge); CC0; Stendhal
soup.png                       Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
tea.png                        Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
twilight_elixir.png            Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
waterbottle.png                Groundhug McHampster (h4mt4r0), Bluelads4; GPL 2.0+; Stendhal
wine.png                       Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal

data/sprites/items/flower/

daisies.png        kymara?; ???; ??? (committed by kymara: 7185046)
exotic_flower.png  bleutailfly; OGA BY 3.0; Stendhal
lilia.png          omero?; ???; ??? (committed by kymara: d78af05)
pansy.png          omero; CC BY-SA 3.0; Stendhal
rose.png           Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://freesvg.org/red-rose-with-thorns
zantedeschia.png   omero; CC BY-SA 3.0; Stendhal

data/sprites/items/food/

apple_mauve.png          tigertoes; CC BY-SA 3.0; Stendhal, https://opengameart.org/node/99798
apple_red.png            tigertoes; CC BY-SA 3.0; Stendhal, https://opengameart.org/node/99798 (duplicate: ./apple_special/apple_red.png)
applepie.png             omero; CC BY-SA 3.0; Stendhal
arctic_char.png          Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
artichoke.png            omero; CC BY-SA 3.0; Stendhal
baguette.png             Katie Russell (kymara); GPL 2.0; Stendhal
banana.png               RedQueen; OGA BY 3.0; Stendhal
broccoli.png             Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
butter.png               omero; CC BY-SA 3.0; Stendhal
button_mushroom.png      Daniel Herding (mort); GPL 2.0; Stendhal
carrot.png               Belohlavek; CC0; https://opengameart.org/node/12830
cauliflower.png          Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
cheese.png               thekingphoenix; CC0; https://opengameart.org/node/77345
cheese_sausage_on_bun.*  thekingphoenix, Jordan Irwin (AntumDeluge); CC0; Stendhal, https://opengameart.org/node/77345
