This file should be synced with: https://stendhalgame.org/wiki/Stendhal:Audio_copyright/SFX

data/sounds/

alligator-1.ogg            U.S. Fish and Wildlife Service; public domain; http://www.fws.gov/video/sound.htm
loop-grind-stone-1.wav.xz  j1987; CC0; http://www.freesound.org/people/j1987/sounds/95007/
metal-can-1.ogg            free sound pack
minimare-*.ogg             Kevin Smith (TKZ Productions); CC BY 3.0; https://opengameart.org/node/50710
moan-1.ogg                 free sound pack
monkey-1.ogg               Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81240
monkey-1.wav.xz            Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81240
monkey-2.ogg               Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81240
monkey-2.wav.xz            Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81240
monkey-3.ogg               Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81240
monkey-3.wav.xz            Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81240
monster-11.ogg             Ogrebane; CC0; http://opengameart.org/content/monster-sound-effects-2
monster-11.wav.xz          Ogrebane; CC0; http://opengameart.org/content/monster-sound-effects-2
monster-12.ogg             Ogrebane; CC0; http://opengameart.org/content/monster-sound-effects-2
monster-12.wav.xz          Ogrebane; CC0; http://opengameart.org/content/monster-sound-effects-2
monster-14.ogg             Ogrebane; CC0; http://opengameart.org/content/monster-sound-effects-2
monster-14.wav.xz          Ogrebane; CC0; http://opengameart.org/content/monster-sound-effects-2
monster-16.ogg             Ogrebane; CC0; http://opengameart.org/content/monster-sound-effects-2
monster-16.wav.xz          Ogrebane; CC0; http://opengameart.org/content/monster-sound-effects-2
monster-1.ogg              Ogrebane; CC0; http://opengameart.org/content/monster-sound-effects-2
monster-1.wav.xz           Ogrebane; CC0; http://opengameart.org/content/monster-sound-effects-2
monster-2.ogg              Ogrebane; CC0; http://opengameart.org/content/monster-sound-effects-2
monster-2.wav.xz           Ogrebane; CC0; http://opengameart.org/content/monster-sound-effects-2
